time,agegrp,sim_low95,sim_median,sim_up95
606,3,1.210288181672136,1.3035749676757353,1.4090803734541146
606,4,1.7727121086990016,1.9053873748038634,2.0567893074265666
606,5,7.535509502766015,8.091916702817509,8.72702749153596
613,1,3.287720891512041,3.5308726354248137,3.7963274622127643
613,2,1.5220191389258693,1.691774241360908,1.8955893325880797
613,3,0.9864495609702709,1.0655691401230083,1.1539678101014237
613,4,1.4743398254669628,1.588047365889045,1.715317633931468
613,5,6.398044485945781,6.884577357063656,7.427631617368936
620,1,2.8143111617220438,3.0216366918136943,3.248223666776625
620,2,1.2003824057186478,1.33094809774869,1.4880046063065546
620,3,0.7749263130006427,0.8398676447991777,0.9119278787220505
620,4,1.177845447458555,1.272765405321159,1.376484113261949
620,5,5.201221018026397,5.611456359435624,6.062630497236484
627,1,2.389905068416577,2.568264476704358,2.7605473281663198
627,2,0.9498315424929333,1.051060723771056,1.1715753700229217
627,3,0.5930396664048988,0.6438491722350257,0.7026177074924193
627,4,0.9125312947565017,0.9882114910587374,1.0723644293031123
627,5,4.080969999410349,4.413233576828891,4.776708096754641
634,1,2.0131990623623928,2.165642735780981,2.3298362910374277
634,2,0.7540543930927925,0.8327615196767735,0.9255822983609336
634,3,0.4447326149450554,0.483971963797874,0.5290089070695033
634,4,0.689209904087019,0.7487289073408094,0.8139915556596374
634,5,3.109400717769053,3.371944305496453,3.664928308636903
641,1,1.6835031489882695,1.8125730548834547,1.949440313624258
641,2,0.5994508936456433,0.6605171847034264,0.7324002177036365
641,3,0.32752851747294837,0.3583790293383624,0.3937222973970027
641,4,0.5104194838019943,0.556880894041208,0.6078114573250384
641,5,2.310601846192026,2.5187494778606903,2.748241384804477
648,1,1.3988534118127085,1.5069267798615344,1.622433253802286
648,2,0.47581298260670063,0.5239384943312604,0.5808399267480622
648,3,0.23840435476901864,0.2623360183862211,0.28937288008523815
648,4,0.37213416805221794,0.4082131822539017,0.44810074475527584
648,5,1.6849509763722001,1.8454146367252886,2.024976659134374
655,1,1.1548445649599843,1.2458975003855075,1.3426532253123085
655,2,0.3770173788433542,0.4154451457839089,0.4609540349900529
655,3,0.1719261336040388,0.190099213477823,0.21126345448037945
655,4,0.2682610110221997,0.29589589631974805,0.32694925286768556
655,5,1.209892744404139,1.3323995932667372,1.4705291998199632
662,1,0.9481269916122069,1.0237471475367297,1.1054953861047982
662,2,0.2976632304624179,0.3287834896080304,0.36560233776442586
662,3,0.12287007187799177,0.13682632448300192,0.15300325650394236
662,4,0.19168140488715657,0.21255835721235278,0.23714732913443168
662,5,0.8568479789161422,0.9511219233996694,1.0598818392563978
669,1,0.7736541404806025,0.8373616421852487,0.9067348796366937
669,2,0.2347514650589951,0.259786358925763,0.2899986751384763
669,3,0.08707482296136927,0.09792831633328261,0.11079478099968992
669,4,0.13587100917705836,0.15192058190182572,0.17125509196042665
669,5,0.6005098620447199,0.6731923344448458,0.7586194367824924
676,1,0.6280176490221516,0.6823240268725915,0.7421212804254584
676,2,0.1843547180826027,0.2049781307737746,0.23037132016574374
676,3,0.061411691766689314,0.06979690060548967,0.08010676258776527
676,4,0.09541598967331065,0.10807176847426936,0.12344068995936502
676,5,0.41741600150180297,0.47330102455600953,0.5411595729704904
683,1,0.5071707255198715,0.5540072372396856,0.6069631377627014
683,2,0.14425924395616596,0.16163097769384413,0.18297398634028197
683,3,0.04312094116482772,0.04966029479891179,0.057821734902250455
683,4,0.06679135935314165,0.07670760177861141,0.08889407048698225
683,5,0.28846980225396446,0.33185092867474053,0.3843151662208622
690,1,0.4081472960111356,0.44920300375625577,0.495642764612446
690,2,0.11251169707566659,0.12731299908952826,0.1457828031065139
690,3,0.03013785546951124,0.0353069468764364,0.041734988975206874
690,4,0.04662974527900969,0.054444634921536145,0.06410975266673963
690,5,0.19851931623008578,0.23230958406288166,0.2733226504004214
697,1,0.3280775295074542,0.36357516510742083,0.40536358448911347
697,2,0.08781591149420177,0.1004728209693787,0.11630348240255826
697,3,0.021128147124940235,0.025163088519857678,0.03019974525073666
697,4,0.03263969521077263,0.038742939171524216,0.046345172956007624
697,5,0.13657705641291207,0.16279915154668678,0.19520377094993113
704,1,0.26304622595578137,0.2948699151175788,0.33271521997115594
704,2,0.06871246321341902,0.07943815515403983,0.09302412115268707
704,3,0.014864869008279548,0.01801195602011392,0.02204612721932294
704,4,0.02291310201308552,0.02771581631141124,0.03381199786085787
704,5,0.0944845496446215,0.11480040953109164,0.14017594542503356
711,1,0.2109124704543735,0.23942871298136315,0.2737499789031337
711,2,0.05392156305866913,0.06308908111796452,0.07506772150824038
711,3,0.01050378570148524,0.012986088955728364,0.01621689419182556
711,4,0.016218901371930446,0.01997289183725588,0.024897029127751803
711,5,0.06587415443992209,0.08147299703116187,0.10150050465419609
718,1,0.1699548837485446,0.19530391723899393,0.2260004403116816
