quarter,agegrp,sim_low95,sim_median,sim_up95
4,20,3.867453297103728,4.071619031951141,4.278593186146061
4,21,6.915597088569409,7.277492895121781,7.6492346416535515
4,22,15.777098496992574,16.58281421627359,17.41033871590402
4,23,36.62424634488973,38.48974820380631,40.383319897766896
4,24,59.139601528866926,62.17060716651987,65.26834039290517
4,25,136.39355144174968,143.35415135831028,150.55722149108865
5,1,5.639178830187824,7.4230377388189694,9.809629380559084
5,2,6.916457974597612,9.070529321518679,11.903622775110072
5,3,7.465309895589236,9.773403359565073,12.780904157188283
5,4,5.939350990298576,7.789425127081486,10.181300168002101
5,5,4.633130271256938,6.090457505169801,7.979472963236577
5,6,3.5988607399954873,4.742665452377162,6.2371011474293825
5,7,2.8130589447152845,3.7115434595568715,4.897391908687686
5,8,2.224708079385471,2.9436550765701446,3.885631665411335
5,9,1.7956047188610629,2.37858099038366,3.1410341425994237
5,10,1.4825702772590472,1.9643869840375345,2.598459684501112
5,11,1.252205628051097,1.66004675454404,2.1953110799079796
5,12,1.0826095901846977,1.434412552046908,1.894600449482787
5,13,35.366041661140244,43.17218085294114,52.059149674502464
5,14,10.378024026778364,13.039952007470365,16.363639152495608
5,15,0.5212097423526902,0.6674715174193501,0.8590082060990248
5,16,0.18851267216839918,0.2487096769330881,0.3288871388052938
5,17,0.14096665469863176,0.1912192053078312,0.2609303082241502
5,18,0.06619414924475202,0.09162837778067495,0.12815923877587335
5,19,0.0888433729470804,0.12429004071424399,0.17535374270131734
5,20,0.09405437039794623,0.12588134461438688,0.17001395361864888
5,21,0.12993198242440074,0.17609061622662675,0.24103803880968638
5,22,0.26457081895708534,0.3609946064894898,0.49662381566800673
5,23,0.5214496498539031,0.7178245799041693,0.989083205430981
5,24,0.7080986131817903,0.988115927316632,1.374688485400267
5,25,2.1585499891431086,2.937015924442229,3.982735345402437
6,1,216.30037800563628,240.32493127029156,267.6689003003921
6,2,230.93336915713962,255.99277308087994,284.5849366245026
6,3,240.1368442511946,266.3309556157592,295.28727107372947
6,4,189.43443507803556,209.92843602671732,232.75319713598367
6,5,148.56180820218447,164.72915453689166,182.45982789282363
6,6,116.95764905994457,129.53555822391843,143.65119097724914
6,7,95.34939073397902,105.63019908860873,117.24240562324037
6,8,77.78855662085945,86.26019145162282,95.60311172410769
6,9,63.60840246022385,70.64747233010924,78.39140062568394
6,10,52.66074595311952,58.53681816784507,65.0494307686616
6,11,44.30150939471824,49.38498333751462,54.99423782853887
6,12,37.987521496267426,42.53702112611428,47.35570672403262
6,13,1160.8903261238715,1303.830641290555,1446.395533567177
6,14,478.56789036525726,534.7056747720899,592.0780560845958
6,15,24.86824062653761,27.68679412947212,30.737025143469285
6,16,8.371540377495498,9.2952559949957,10.331692319277671
6,17,5.199918808767302,5.821957975098755,6.536544110683407
6,18,2.155162165293333,2.4734570622067147,2.8662328802256787
6,19,2.757502229521323,3.207980690873021,3.7723268647382824
6,20,3.248169263844653,3.643250661673264,4.0893969148459375
6,21,4.188777000022661,4.741984591364583,5.378842220311195
6,22,8.274551923316725,9.40681462789499,10.734619344123134
6,23,15.719252124454597,17.924511619055853,20.48686061611328
6,24,19.7606298234807,22.764859940758356,26.36151777608478
6,25,67.3737188240898,75.86874209703629,85.52191796101908
7,1,2776.574832073213,2965.171136279182,3170.5217016675697
7,2,3048.8365497109185,3256.913936512544,3472.753583373832
7,3,3181.169869119043,3395.7006393221754,3615.515290709914
7,4,2500.098447168463,2666.4002444985003,2838.0133073978795
7,5,1953.377778394454,2084.443111001542,2221.123488275963
7,6,1532.6614839375895,1637.1844092180477,1746.626447028095
7,7,1246.345996296581,1333.091446694459,1422.9187786166003
7,8,1018.3024256793052,1089.1042264978428,1163.7161153482991
7,9,838.3580040803589,896.249922396918,958.7523488645339
7,10,698.2141239045817,747.836241444141,799.2249333004854
7,11,591.1208320540962,634.1795102312217,679.8209525755661
7,12,507.92011713028205,547.7551890081882,588.9921901781554
7,13,3038.5764628520546,3244.1457369552286,3463.762622480122
7,14,1462.9107007246562,1565.956182300313,1680.9801944278188
7,15,159.0244848493994,170.32840275029338,182.44932166707147
7,16,95.15893089944879,102.12866316067473,109.21698775563355
7,17,88.23258140741649,94.3919104002425,100.6400173909186
7,18,47.935685421795824,51.24622671926136,54.77622390567181
7,19,70.09553079944584,75.07206346718242,80.31789131279804
7,20,46.05562994481708,49.25308206285585,52.65237993238879
7,21,77.61729965786627,82.97431477216257,88.69362119916944
7,22,169.86659557464858,181.73815357026012,194.2756835185441
7,23,367.04421884395066,393.46722408003257,420.59965671027066
7,24,560.7032559154214,601.5799573042882,643.7073145207772
7,25,1396.459909381447,1497.7031832086932,1600.5482315523009
8,1,216.26283496272083,228.36131948857846,240.99236431291882
8,2,264.6968417291598,279.5445323458239,294.89626165256317
8,3,286.22030980293545,300.93513431463646,316.18325941080974
8,4,226.5848378622184,238.23119058875244,250.15058879214305
8,5,176.42274568600644,185.67322402514253,195.22255491922851
8,6,137.62299274075886,145.00723305522703,152.78990829932388
8,7,109.18736365166473,115.22700298006845,121.53355295911243
8,8,88.28368584331407,93.13596416438108,98.27916062730654
8,9,72.45499460017717,76.4862361585528,80.70311247890486
8,10,60.497164108804064,63.89245356550924,67.36008314499482
8,11,51.431401641072476,54.3386597606551,57.40125990985129
8,12,44.35256129838222,47.08608832575545,49.943999603045405
8,13,318.6588202126055,331.4876474046114,345.61403688736385
8,14,93.09593908784984,99.577812508282,106.8713417865306
8,15,8.738476499157695,9.310333845037032,9.932788418590501
8,16,5.860616220850449,6.253553225279266,6.656298584700572
8,17,6.664066978636349,7.070448022703413,7.487598354289191
8,18,4.073091971817149,4.304879361598166,4.5402007556637205
8,19,6.360748727832008,6.702635836056833,7.055010123391684
8,20,3.867639454544101,4.071805691852235,4.2787610927507105
8,21,6.915948189949903,7.277865957155095,7.649683602729596
8,22,15.777858331622557,16.58366480963801,17.411229348877896
8,23,36.62628041073114,38.491776612947746,40.38558150168767
8,24,59.14335308161186,62.17415083577376,65.27150618016923
8,25,136.40046321722576,143.3624651338497,150.564125690138
9,1,5.638781246846835,7.422620862975758,9.809108479337622
9,2,6.916020966231509,9.070130474732673,11.903393365806535
9,3,7.465005452493461,9.772908755602835,12.78020199868826
9,4,5.939078031525657,7.789146790592353,10.181012341580724
9,5,4.6328603211193835,6.090216154961293,7.97912016448831
9,6,3.598610990589385,4.742386445666494,6.236756783983267
9,7,2.8129309945016305,3.7113724254496026,4.897204303152333
9,8,2.2246064828781646,2.943516803174793,3.8854647465309635
9,9,1.7955116853486959,2.378486153759204,3.1408576437572053
9,10,1.4824742423667563,1.9643125105189725,2.5983488545039046
9,11,1.2521247029920297,1.6599826508286357,2.1952117414614447
9,12,1.0825402163801139,1.434349862616517,1.8945209609518598
9,13,35.36416410014183,43.16949630854306,52.05689108782666
9,14,10.377251380214313,13.039114984660337,16.363207762185628
9,15,0.5211704284219696,0.6674379865983328,0.8589629146524277
9,16,0.18850203047629005,0.2486971796241945,0.3288750131114052
9,17,0.1409572094034838,0.19120699253352647,0.26092138643744606
9,18,0.0661908123044166,0.09162475607607996,0.12815344591187994
9,19,0.08884067351342506,0.12428302063332006,0.17534565471513563
9,20,0.09405058010626584,0.12587767279558695,0.1700063216588371
9,21,0.1299267657761611,0.17608454005360752,0.24102723667648762
9,22,0.26455347982429844,0.36098186560080436,0.49660833860619186
9,23,0.5214232759193071,0.7177918314760433,0.9890357533260575
9,24,0.7080804059199659,0.9880709295663419,1.3746451893191145
9,25,2.1584473941208793,2.9368527715464383,3.9825877606314286
10,1,216.27561194124104,240.3007330187041,267.6414522975059
10,2,230.91311096368833,255.9669582594583,284.5620368815921
10,3,240.1198661710189,266.3066673606619,295.2539201781645
10,4,189.4177652425684,209.9076735736525,232.73618229006243
10,5,148.54769607374993,164.71420149380046,182.4429116331899
10,6,116.94795284526876,129.5239093442541,143.63770921285038
10,7,95.34019977092932,105.62155405757777,117.23318803407885
10,8,77.7797728953306,86.2527918969022,95.59609053653158
10,9,63.6031301928065,70.64130423502702,78.38481474369398
10,10,52.65580813066021,58.531766491310876,65.04342449652606
10,11,44.29770445606259,49.38058073557076,54.99005639651101
10,12,37.9851467227906,42.53244327130338,47.350909661285954
10,13,1160.8060079327736,1303.7381550580048,1446.3279673836757
10,14,478.5278279289423,534.6707148424975,592.0349493164063
10,15,24.866234793184656,27.68441727907284,30.735012329639325
10,16,8.370955709057027,9.294392309634404,10.330841909285011
10,17,5.199345188585075,5.8213248411448015,6.535889146815302
10,18,2.1549621470154716,2.4732212668886406,2.865992730117521
10,19,2.757215922446073,3.2076867009460797,3.7720033994813673
10,20,3.2478732585215666,3.6429276516300826,4.089095818774508
10,21,4.188324638846402,4.741526190397526,5.378462239761034
10,22,8.273672239918582,9.405937397838827,10.733963552446621
10,23,15.717725082719758,17.92304051287624,20.48495490863901
10,24,19.758640651519666,22.762856180780624,26.359194633869542
10,25,67.36859347622786,75.8620591216997,85.51314187991937
11,1,2776.570519920894,2965.1653566854475,3170.517522311645
11,2,3048.8331712279273,3256.906523536555,3472.7463483074557
11,3,3181.1627233165805,3395.6913686696766,3615.504626544019
